Created as New Dataset;
s;A
1091,00;0,2099
1092,00;0,2099
1093,00;0,2099
1094,00;0,2104
1095,00;0,2115
1096,00;0,2115
1097,00;0,2115
1098,00;0,2126
1099,00;0,2136
1100,00;0,2136
1101,00;0,2163
1102,00;0,2222
1103,00;0,2381
1104,00;0,2725
1105,00;0,3435
1106,00;0,4498
1107,00;0,5616
1108,00;0,6489
1109,00;0,6945
1110,00;0,7125
1111,00;0,7175
1112,00;0,7158
1113,00;0,7091
1114,00;0,7009
1115,00;0,6929
1116,00;0,6849
1117,00;0,6803
1118,00;0,6772
1119,00;0,6772
1120,00;0,6772
1121,00;0,6803
1122,00;0,6881
1123,00;0,6945
1124,00;0,7042
1125,00;0,7108
1126,00;0,7209
1127,00;0,7295
1128,00;0,7330
1129,00;0,7347
1130,00;0,7295
1131,00;0,7226
1132,00;0,7042
1133,00;0,6741
1134,00;0,6403
1135,00;0,6011
1136,00;0,5557
1137,00;0,5042
1138,00;0,4507
1139,00;0,4048
1140,00;0,3685
1141,00;0,3378
1142,00;0,3125
1143,00;0,2898
1144,00;0,2689
1145,00;0,2501
1146,00;0,2370
1147,00;0,2249
1148,00;0,2152
1149,00;0,2047
1150,00;0,1950
1151,00;0,1879
1152,00;0,1805
1153,00;0,1732
1154,00;0,1679
1155,00;0,1613
1156,00;0,1525
1157,00;0,1420
1158,00;0,1253
1159,00;0,1075
1160,00;0,0952
1161,00;0,0829
1162,00;0,0709
1163,00;0,0574
1164,00;0,0446
1165,00;0,0358
1166,00;0,0284
1167,00;0,0233
1168,00;0,0185
1169,00;0,0148
1170,00;0,0118
1171,00;0,0092
1172,00;0,0075
1173,00;0,0052
1174,00;0,0033
1175,00;0,0019
1176,00;0,0006
1177,00;-0,0003
1178,00;-0,0016
1179,00;-0,0026
1180,00;-0,0032
1181,00;-0,0042
1182,00;-0,0048
1183,00;-0,0055
1184,00;-0,0061
1185,00;-0,0067
1186,00;-0,0071
1187,00;-0,0074
1188,00;-0,0077
1189,00;-0,0077
1190,00;-0,0080
1191,00;-0,0080
1192,00;-0,0077
1193,00;-0,0080
1194,00;-0,0080
1195,00;-0,0080
1196,00;-0,0080
1197,00;-0,0080
1198,00;-0,0083
1199,00;-0,0083
